Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
112	2501.555	1433.7426	4006.6292	177.36096	2603.4236	1460.8015	4423.539	700.4756	733.3333	658.9	559999	460.47546	88.940285	686.2574	-471.1078	-465.16455	333.32834	2809.962821483612
113	1511.4703	1441.201	3907.184	58.388016	2516.8398	1335.2501	4049.7427	204.722	443.66666	720.1	564999	458.82254	87.18573	697.00073	-429.53165	-463.4763	324.2644	2837.2514452934265
114	2529.263	1390.9337	4061.2908	349.8934	2617.4692	1159.6558	3753.0627	569.89026	682.1429	716.3	569999	457.1416	86.83421	656.24194	-259.28	-461.7609	327.2463	2863.911669254303
115	2447.695	1305.2902	3819.9438	-7.013794	3153.4622	1327.323	4205.157	595.71405	693.25	791.7	574999	455.7079	85.86696	683.7763	-391.80643	-460.2757	319.49722	2890.9701125621796
116	1247.7238	1252.0781	3840.4873	144.33382	2432.3267	1102.8787	4178.6123	513.04895	373.92307	679.7	579999	455.70358	85.298546	694.0184	-427.05032	-460.27206	318.926	2917.5544323921204
117	1489.4128	1374.8284	4004.2246	17.042177	1944.1465	1241.8118	3701.6519	473.52466	459.18182	603.7	584999	454.36493	83.77356	667.05286	-622.05896	-458.79385	316.7388	2944.1915855407715
118	1070.4261	809.0946	2710.819	39.978264	1133.1785	612.79755	2516.3928	421.7752	327.13333	326.6	589999	452.04953	83.747574	661.65784	-350.21924	-456.4482	319.83844	2970.2550444602966
119	2676.1206	1089.3633	3935.8525	1274.4037	1625.0638	1118.3284	3816.3623	290.88824	709.5714	544.4	594999	450.25003	84.236206	668.39105	-615.33246	-454.55624	303.23105	2997.0268330574036
120	2168.6047	1432.763	3790.7207	174.95953	1720.809	1225.1224	3608.5315	316.1715	651.0	502.6	599999	447.35666	84.81688	664.7068	-317.68048	-451.55316	302.32196	3023.7343242168427
121	2270.147	1182.6721	3654.1897	864.076	1283.2916	1130.8905	3768.6792	119.90514	687.7143	394.3	604999	445.88733	86.01482	648.39307	-318.39542	-450.2314	306.2844	3050.210841178894
122	2030.3988	1530.4115	4053.6975	29.180616	2247.0952	1842.8105	4289.5273	109.86336	562.125	574.5	609999	447.56454	84.74948	710.0444	-351.994	-451.868	301.9803	3077.1074409484863
123	1778.1522	1229.0284	4057.6672	117.270065	2194.0952	1398.6875	4306.7705	143.1859	509.0909	643.5	614999	448.04355	85.693	653.72894	-478.84567	-452.37616	300.47305	3103.195524454117
124	2297.6008	1693.4028	4083.367	176.86758	1375.5596	1033.278	3348.4512	113.088524	642.2857	448.8	619999	450.0514	86.06086	663.11383	-493.26462	-454.3711	303.88675	3130.284428834915
125	1946.0547	1467.4357	3988.983	112.19247	1328.1968	745.0087	2318.9363	157.87126	555.0	376.5	624999	453.15152	85.5143	662.3963	-413.92523	-457.5915	321.31174	3156.016783952713
126	1031.3706	1265.4452	3705.2566	85.37351	1340.4608	1491.0543	4522.941	112.70733	337.46667	378.8	629999	455.348	87.45999	661.4469	-502.81384	-459.784	313.96338	3182.319416284561
127	2285.3352	1210.7843	3695.7683	476.0533	2637.6904	1445.737	4283.2256	79.08952	681.8571	675.6	634999	458.2991	87.367424	644.8915	-396.4943	-462.7272	312.64215	3209.1564581394196
128	1793.7694	1226.3818	3754.8872	202.48358	2198.978	1479.0669	4312.7812	255.86577	577.1111	559.7	639999	458.46338	87.37138	646.59674	-537.2199	-462.8104	314.9319	3236.2661397457123
129	1408.0709	1659.6807	4464.275	17.012827	3441.9233	713.3953	4130.832	1566.8887	378.63635	928.1	644999	457.6162	87.734634	660.9706	-274.85452	-461.7553	306.76294	3264.4949197769165
130	1806.0046	1292.6515	3897.7646	163.62172	1153.5464	853.62115	2777.9812	109.9806	497.45456	410.1	649999	456.41736	87.95081	641.50476	-435.51724	-460.6814	306.17886	3290.9588372707367
131	1263.1392	983.4573	3504.9785	102.28158	2124.8962	1259.401	3642.8193	88.17596	405.69232	625.5	654999	455.45206	87.440956	649.1348	-471.1689	-459.5294	313.15912	3317.865777492523
132	2395.8645	1277.0791	3967.1226	112.495346	2381.584	1434.4907	3722.5051	105.06186	675.5714	718.6	659999	454.86392	86.95367	649.946	-361.1968	-459.07846	312.04227	3345.126071214676
133	1769.0836	1268.1654	3731.0671	89.92657	1551.4807	1211.8716	3163.27	171.27235	538.6	526.0	664999	454.72247	86.23341	637.2117	-347.48358	-458.82834	302.7817	3371.200159072876
134	2533.9436	1308.1399	3781.5273	558.49286	1363.3142	941.82623	3336.9233	476.73578	754.0	465.2	669999	454.77597	86.28661	660.8511	-385.5234	-458.9559	292.81717	3397.314470767975
135	1370.5553	1220.3939	3232.2642	128.49649	1728.7805	919.58887	3279.477	407.58762	429.33334	566.7	674999	454.90536	86.14776	657.437	-471.00565	-459.04196	306.19604	3424.262538433075
136	1312.4042	1013.852	3179.7732	223.45523	1093.133	759.0615	2461.7817	282.76508	413.0	380.3	679999	454.96194	86.19731	652.4567	-373.31738	-459.0239	298.72336	3451.0707700252533
